NUMPOINTS,X,Y
881,-15632.74177,7229867.489262569
918,-15536.50177,7230076.239262569
1653,-16126.05177,7229500.669262568
396,-16171.12177,7229795.549262568
2264,-16230.66177,7229745.779262569
1954,-15950.74177,7229787.309262568
335,-16106.79177,7229812.269262568
114,-16537.18177,7230080.019262568
1664,-15953.45177,7229972.799262568
19,-16280.92177,7229722.099262568
582,-15856.45177,7229811.849262568
88,-16054.37177,7229623.049262568
449,-16069.73177,7229576.889262568
158,-16284.95177,7229819.489262569
613,-16422.17177,7229552.909262569
453,-15751.33177,7229882.349262568
800,-15691.21177,7229889.379262568
107,-16641.59177,7229593.429262568
3072,-16498.02177,7229754.999262569
2216,-16325.72177,7230129.079262569
2422,-16534.07177,7229763.209262568
321,-15820.33177,7229674.529262569
119,-15660.04177,7230241.129262568
85,-15660.29177,7230241.659262569
222,-16299.81177,7229838.319262568
1064,-16866.66177,7230340.379262568
1340,-15577.16177,7229805.869262569
913,-15751.76177,7229881.909262569
246,-15677.37177,7229778.629262568
296,-16179.59177,7229795.459262568
129,-16989.86177,7229806.039262569
77,-16180.48177,7229928.629262568
93,-16173.79177,7229923.129262568
94,-16053.56177,7229886.019262568
76,-16007.62177,7229954.379262568
6949,-16740.17177,7229433.459262568
593,-16521.04177,7229757.069262568
41,-16125.15177,7229727.039262569
1028,-16000.87177,7229956.319262568
2300,-16117.79177,7229796.059262568
471,-15530.92177,7229943.379262568
2233,-16085.71177,7229799.729262568
84,-16178.98177,7229925.299262568
925,-16254.76177,7229724.619262569
95,-15758.48177,7229728.299262568
711,-16039.04177,7230147.089262568
261,-16304.20177,7229897.459262568
153,-16504.14177,7229592.589262568
339,-16056.04177,7229695.209262568
11,-16201.62177,7229692.739262569
15,-16391.48177,7229596.459262568
684,-15953.96177,7229970.269262568
67,-16354.76177,7229737.239262569
385,-16143.43177,7229693.969262568
1377,-16153.48177,7229697.269262568
986,-15569.76177,7229951.919262568
450,-16524.54177,7229268.329262569
14,-16273.36177,7229725.749262569
875,-15750.90177,7229882.589262568
804,-15645.94177,7230270.089262568
1898,-15903.11177,7230204.459262568
661,-16693.82177,7230184.519262568
654,-15602.81177,7229919.679262568
10081,-16609.82177,7229679.409262569
107,-16664.96177,7229565.799262568
1227,-15753.16177,7229882.139262568
914,-16208.43177,7229773.959262568
766,-16963.09177,7229775.129262568
1757,-15950.96177,7229703.909262569
17,-16335.98177,7229548.929262568
804,-16459.29177,7230023.329262569
545,-15570.00177,7229448.359262568
663,-17029.33177,7229721.549262568
842,-15638.45177,7230367.989262569
95,-16651.98177,7229570.939262568
576,-15739.38177,7230010.109262569
109,-16650.91177,7229566.739262569
672,-15691.32177,7229857.009262568
1698,-15510.43177,7229945.849262568
182,-16271.09177,7229823.989262569
1953,-16244.93177,7229715.999262569
1824,-16226.80177,7229716.999262569
2370,-16432.36177,7229779.829262569
79,-16608.96177,7229941.839262568
497,-15635.96177,7229875.829262569
1930,-15851.56177,7229754.709262568
1487,-15689.31177,7229985.379262568
183,-16350.61177,7229730.759262568
176,-15676.75177,7229821.799262568
65,-16088.15177,7229730.239262569
90,-16649.51177,7229588.669262568
1986,-16644.79177,7229955.989262569
2763,-16532.14177,7229761.609262568
2928,-16202.95177,7229729.319262568
92,-16295.73177,7229593.159262569
2673,-16112.06177,7229730.459262568
682,-15731.23177,7229888.109262569
30,-16789.09177,7229722.679262568
29,-16789.31177,7229722.879262568
33,-16788.88177,7229722.749262569
2682,-16167.57177,7229708.589262568
231,-16664.53177,7229565.329262569
2738,-16032.07177,7229757.319262568
1970,-16350.09177,7230016.929262568
450,-16298.94177,7229755.119262569
590,-16289.28177,7229743.499262569
407,-16275.10177,7229766.709262568
598,-16288.21177,7229752.849262568
2468,-16251.69177,7229748.989262569
375,-15724.16177,7229791.459262568
130,-15848.51177,7229338.879262568
648,-16032.23177,7229757.819262568
309,-16238.73177,7229751.239262569
603,-16348.27177,7230008.089262568
14,-16175.94177,7229761.009262568
1722,-15784.55177,7230231.669262568
115,-16664.00177,7229564.949262569
2807,-16259.09177,7229753.989262569
2700,-16303.98177,7229966.659262569
1560,-15753.34177,7229733.429262568
2181,-16193.64177,7229838.779262569
20,-16338.29177,7229774.239262569
452,-15655.08177,7229788.689262568
654,-15538.33177,7229976.349262568
482,-16007.28177,7229879.769262568
46,-15664.73177,7230088.599262568
1645,-16341.56177,7230012.739262569
418,-16539.33177,7229842.519262568
968,-15913.39177,7229695.909262569
296,-16691.78177,7229802.669262568
33,-15664.84177,7230088.679262568
25,-15627.43177,7230079.679262568
33,-15664.65177,7230088.539262569
29,-15664.70177,7230088.519262568
2055,-15867.74177,7229695.939262568
143,-15664.18177,7230076.379262568
28,-15664.70177,7230088.659262569
24,-15664.73177,7230088.679262568
24,-15664.65177,7230088.519262568
43,-15664.76177,7230088.599262568
4175,-15999.84177,7229777.239262569
2569,-15999.93177,7229776.819262568
